Code BBUSD1M BBUSD2M BBUSD3M BBUSD4M BBUSD5M BBUSD6M BBUSD7M BBUSD8M BBUSD9M BBUSD10 BBUSD11 BBUSD12
Currency U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$
31-05-89 9.68750 9.62500 9.56250 9.56250 9.50000 9.50000 9.50000 9.50000 9.50000 9.50000 9.50000 9.50000
30-06-89 9.43750 9.37500 9.31250 9.18750 9.12500 9.12500 9.07813 9.06250 9.06250 9.06250 9.00000 9.00000
31-07-89 8.68750 8.62500 8.56250 8.43750 8.43750 8.37500 8.34375 8.31250 8.31250 8.29688 8.25000 8.25000
31-08-89 9.00000 9.00000 9.00000 9.00000 9.00000 9.00000 9.00000 8.93750 8.93750 8.93750 8.93750 8.93750
29-09-89 9.12500 9.12500 9.18750 9.12500 9.12500 9.12500 9.06250 9.06250 9.06250 9.06250 9.06250 9.06250
31-10-89 8.75000 8.81250 8.68750 8.62500 8.56250 8.50000 8.43750 8.43750 8.43750 8.43750 8.43750 8.43750
30-11-89 8.81250 8.56250 8.50000 8.43750 8.37500 8.31250 8.26563 8.25000 8.25000 8.25000 8.25000 8.25000
29-12-89 8.50000 8.43750 8.37500 8.37500 8.31250 8.31250 8.25000 8.25000 8.25000 8.25000 8.25000 8.25000
31-01-90 8.31250 8.37500 8.37500 8.43750 8.43750 8.43750 8.50000 8.50000 8.56250 8.56250 8.62500 8.68750
28-02-90 8.37500 8.37500 8.37500 8.37500 8.43750 8.43750 8.50000 8.56250 8.56250 8.62500 8.68750 8.68750
30-03-90 8.37500 8.43750 8.50000 8.56250 8.62500 8.68750 8.75000 8.75000 8.81250 8.87500 8.87500 8.93750
30-04-90 8.50000 8.62500 8.68750 8.75000 8.81250 8.87500 8.93750 9.04688 9.12500 9.18750 9.18750 9.25000
31-05-90 8.31250 8.37500 8.37500 8.43750 8.50000 8.50000 8.56250 8.56250 8.62500 8.62500 8.68750 8.75000
29-06-90 8.31250 8.31250 8.37500 8.37500 8.37500 8.37500 8.43750 8.43750 8.43750 8.43750 8.43750 8.43750
31-07-90 8.00000 8.00000 7.98438 7.98438 7.98438 7.98438 7.98438 7.98438 8.00000 8.00000 8.00000 8.00000
31-08-90 8.06250 8.06250 8.06250 8.12500 8.12500 8.12500 8.18750 8.18750 8.18750 8.25000 8.25000 8.25000
28-09-90 8.26563 8.31250 8.31250 8.31250 8.31250 8.31250 8.31250 8.31250 8.37500 8.37500 8.42188 8.43750
31-10-90 7.93750 8.06250 8.06250 8.06250 8.06250 8.06250 8.06250 8.06250 8.06250 8.07813 8.09375 8.12500
30-11-90 8.62500 8.37500 8.31250 8.25000 8.18750 8.12500 8.06250 8.06250 8.00000 8.00000 8.00000 8.00000
31-12-90 7.62500 7.62500 7.57813 7.56250 7.56250 7.56250 7.56250 7.56250 7.56250 7.56250 7.56250 7.56250
31-01-91 6.93750 7.12500 7.06250 7.06250 7.06250 7.06250 7.12500 7.12500 7.12500 7.18750 7.21875 7.25000
28-02-91 7.00000 6.87500 6.87500 6.87500 6.87500 6.87500 6.87500 6.87500 6.93750 6.98438 7.00000 7.06250
29-03-91 6.31250 6.37500 6.37500 6.43750 6.50000 6.56250 6.62500 6.68750 6.81250 6.87500 6.93750 7.00000
30-04-91 6.06250 6.12500 6.18750 6.25000 6.31250 6.31250 6.37500 6.50000 6.56250 6.62500 6.68750 6.75000
31-05-91 5.93750 6.00000 6.06250 6.06250 6.12500 6.18750 6.31250 6.37500 6.43750 6.50000 6.56250 6.62500
28-06-91 6.06250 6.12500 6.18750 6.31250 6.37500 6.56250 6.62500 6.68750 6.75000 6.81250 6.92188 7.00000
31-07-91 5.93750 6.00781 6.06250 6.12500 6.31250 6.31250 6.37500 6.42188 6.43750 6.50000 6.56250 6.62500
30-08-91 5.68750 5.68750 5.68750 5.81250 5.81250 5.81250 5.85938 5.87500 5.87500 5.93750 5.93750 6.00000
30-09-91 5.43750 5.43750 5.62500 5.62500 5.62500 5.62500 5.68750 5.68750 5.68750 5.74219 5.75000 5.75000
31-10-91 5.12500 5.37500 5.25000 5.25000 5.25000 5.25000 5.25000 5.28125 5.31250 5.31250 5.37500 5.37500
29-11-91 5.18750 5.06250 5.00000 4.93750 4.93750 4.93750 4.93750 4.93750 4.93750 5.00000 5.00000 5.00000
31-12-91 4.31250 4.25000 4.25000 4.25000 4.23438 4.23438 4.25000 4.25000 4.25000 4.25000 4.28125 4.31250
31-01-92 4.18750 4.18750 4.18750 4.25000 4.25000 4.31250 4.31250 4.37500 4.43750 4.50000 4.58594 4.68750
28-02-92 4.25000 4.25000 4.25000 4.25000 4.31250 4.37500 4.43750 4.43750 4.50000 4.62500 4.68750 4.75000
31-03-92 4.25000 4.31250 4.36719 4.42969 4.50000 4.50781 4.61719 4.68750 4.81250 4.93750 5.00000 5.06250
30-04-92 3.93750 4.00000 4.06250 4.12500 4.18750 4.25000 4.31250 4.43750 4.50000 4.56250 4.66406 4.75000
29-05-92 4.00000 4.00000 4.06250 4.12500 4.17188 4.18750 4.31250 4.37500 4.43750 4.53125 4.59375 4.68750
30-06-92 3.93750 3.93750 3.93750 4.00000 4.00000 4.06250 4.12500 4.12500 4.18750 4.25000 4.25000 4.31250
31-07-92 3.37500 3.43750 3.43750 3.50000 3.62500 3.62500 3.62500 3.68750 3.68750 3.74219 3.75000 3.81250
31-08-92 3.48438 3.50000 3.50000 3.62500 3.62500 3.62500 3.63281 3.67969 3.68750 3.68750 3.75000 3.75000
30-09-92 3.18750 3.18750 3.26563 3.25781 3.26563 3.26563 3.31250 3.31250 3.31250 3.35156 3.37500 3.37500
30-10-92 3.25000 3.57813 3.56250 3.56250 3.56250 3.56250 3.60156 3.62500 3.68750 3.75000 3.81250 3.87500
30-11-92 4.25000 4.00000 4.00000 4.00000 4.00000 4.00000 4.06250 4.06250 4.12500 4.18750 4.25000 4.31250
31-12-92 3.31250 3.37500 3.43750 3.50000 3.56250 3.62500 3.68750 3.75000 3.81250 3.87500 3.99219 4.06250
29-01-93 3.12500 3.18750 3.25000 3.26563 3.31250 3.36719 3.37500 3.43750 3.43750 3.50000 3.62500 3.68750
26-02-93 3.18750 3.18750 3.21094 3.25000 3.31250 3.31250 3.37500 3.39063 3.43750 3.50000 3.56250 3.62500
31-03-93 3.18750 3.22656 3.25000 3.28125 3.31250 3.37500 3.39063 3.43750 3.50000 3.51563 3.56250 3.62500
30-04-93 3.12500 3.18750 3.18750 3.25000 3.25000 3.31250 3.31250 3.37500 3.37500 3.43750 3.43750 3.50000
31-05-93 3.25000 3.31250 3.37500 3.40625 3.43750 3.50000 3.56250 3.62500 3.68750 3.75000 3.81250 3.87500
30-06-93 3.18750 3.25000 3.31250 3.37500 3.43750 3.50781 3.56250 3.58594 3.62500 3.68750 3.68750 3.75000
30-07-93 3.18750 3.25000 3.31250 3.31250 3.50000 3.50000 3.56250 3.56250 3.62500 3.68750 3.68750 3.75000
31-08-93 3.18750 3.25000 3.25000 3.42969 3.43750 3.43750 3.43750 3.44531 3.50000 3.50000 3.56250 3.56250
30-09-93 3.18750 3.18750 3.37500 3.37500 3.37500 3.37500 3.43750 3.43750 3.50000 3.50000 3.51563 3.56250
29-10-93 3.18750 3.43750 3.43750 3.43750 3.43750 3.43750 3.50000 3.50000 3.56250 3.56250 3.62500 3.62500
30-11-93 3.56250 3.50000 3.50000 3.50000 3.50000 3.50000 3.56250 3.60938 3.62500 3.68750 3.75000 3.81250
31-12-93 3.25000 3.31250 3.37500 3.37500 3.43750 3.50000 3.53906 3.56250 3.62500 3.68750 3.75000 3.81250
31-01-94 3.12500 3.18750 3.25000 3.25000 3.31250 3.37500 3.43750 3.46094 3.50000 3.56250 3.62500 3.68750
28-02-94 3.56250 3.68750 3.75000 3.87500 3.93750 4.00000 4.06250 4.07031 4.12500 4.18750 4.25000 4.31250
