4.9779,4.9834,4.9833,4.9826,4.9816,4.9827,4.9887,4.9909,4.9898,4.9855,4.989,4.9951,4.997,4.9996,5.0048,5.0049,5.0099,5.0126,5.0091,5.0149,5.01
4.9784,4.9833,4.9831,4.9826,4.9817,4.9831,4.9887,4.991,4.9901,4.9854,4.9891,4.9951,4.9969,4.9997,5.0048,5.005,5.0098,5.0122,5.0091,5.0146,5.01
4.978,4.9832,4.983,4.9826,4.982,4.983,4.9887,4.991,4.9901,4.9852,4.9892,4.9951,4.997,4.9997,5.0049,5.0048,5.0097,5.0122,5.0093,5.0145,5.01
4.9782,4.9832,4.983,4.9827,4.982,4.9831,4.9888,4.991,4.9901,4.9853,4.9893,4.9951,4.997,4.9998,5.0047,5.005,5.0096,5.0122,5.0093,5.0147,5.0099
4.9782,4.9834,4.983,4.9828,4.9821,4.9831,4.9889,4.9908,4.9901,4.9857,4.9895,4.9951,4.9969,4.9997,5.0046,5.005,5.0094,5.0122,5.0094,5.0148,5.0098
4.9779,4.9834,4.9833,4.9828,4.9821,4.9831,4.9889,4.9908,4.9903,4.9857,4.9893,4.9951,4.9969,4.9997,5.0046,5.0051,5.0094,5.0122,5.0093,5.0148,5.0099
4.978,4.9833,4.9832,4.9827,4.9822,4.9831,4.9891,4.9908,4.9902,4.9859,4.9894,4.995,4.9968,4.9998,5.0045,5.0051,5.0094,5.0122,5.0091,5.0147,5.0099
4.978,4.9832,4.9832,4.9825,4.982,4.9828,4.9891,4.991,4.9903,4.9859,4.9893,4.9949,4.9968,4.9998,5.0046,5.005,5.0093,5.0122,5.009,5.0147,5.0098
4.978,4.9829,4.9833,4.9825,4.982,4.9829,4.9891,4.991,4.9903,4.9858,4.9892,4.9949,4.9968,4.9997,5.0047,5.0051,5.0094,5.0119,5.0089,5.0148,5.0099
4.978,4.983,4.9832,4.9825,4.982,4.9831,4.9891,4.9909,4.9901,4.9857,4.9893,4.9949,4.9968,4.9997,5.0048,5.005,5.0094,5.0117,5.0087,5.015,5.0099
4.9777,4.983,4.9834,4.9824,4.9821,4.9831,4.989,4.9907,4.9901,4.9856,4.9892,4.9949,4.997,4.9997,5.0048,5.005,5.0093,5.0119,5.0089,5.0149,5.0098
4.9777,4.983,4.9832,4.9822,4.9823,4.9831,4.9891,4.9908,4.9902,4.9857,4.9891,4.995,4.9971,4.9998,5.0049,5.0051,5.0092,5.0118,5.009,5.015,5.0096
4.9778,4.983,4.9831,4.9824,4.9824,4.9831,4.989,4.9904,4.9901,4.9859,4.9891,4.9951,4.9969,4.9998,5.0049,5.0049,5.0093,5.012,5.009,5.0151,5.0097
4.9779,4.9831,4.9832,4.9825,4.9823,4.9833,4.9891,4.9905,4.9901,4.9857,4.9892,4.9952,4.9971,4.9999,5.0048,5.0051,5.0091,5.0119,5.0089,5.0151,5.0097
4.9779,4.9831,4.9832,4.9825,4.982,4.9835,4.9892,4.9907,4.9901,4.9855,4.9893,4.9947,4.9971,5,5.0048,5.005,5.0092,5.0119,5.0086,5.0151,5.0095
4.978,4.9833,4.9832,4.9824,4.9819,4.9836,4.9892,4.9908,4.99,4.9854,4.9892,4.9947,4.997,5.0002,5.0048,5.0051,5.0091,5.0119,5.0089,5.0152,5.0096
4.9781,4.9831,4.9832,4.9823,4.9819,4.9836,4.9892,4.9907,4.9898,4.9855,4.989,4.9949,4.9973,5.0001,5.0047,5.0051,5.0091,5.0122,5.0089,5.0151,5.0095
